Screen Name,Date,Tweet Text,Compound Score,Postive Score,Neutral Score,Negative Score,Tweet Number
BBC,Mon Oct 28 14:01:06 +0000 2019,"What's the secret to reaching 100 years of age in good health? 👴 👵
https://t.co/wSh2Ub2Zkc",0.572,0.239,0.761,0.0,89
BBC,Mon Oct 28 13:01:03 +0000 2019,"Junior doctor Sofia is put to the test with an on the spot diagnosis. 
#JuniorDoctors | @BBCThree.
https://t.co/bj9NewVlNa",0.0,0.0,1.0,0.0,90
BBC,Mon Oct 28 12:34:57 +0000 2019,"Happy #Diwali!

Learn more about the #FestivalOfLights and how it's celebrated here.
👉 https://t.co/uTE9FUiRut… https://t.co/uGPahNs4Nk",0.827,0.325,0.675,0.0,91
BBC,Mon Oct 28 12:01:07 +0000 2019,"Post Traumatic Stress Disorder diagnosis rates in the UK military have increased over the past decade, and research… https://t.co/nNhxw6UdgR",-0.796,0.08,0.57,0.35,92
BBC,Mon Oct 28 11:56:04 +0000 2019,"RT @bbcasiannetwork: Just @NavaanSandhu's voice and the vaja 💙 

Navaan and @mannisandhu have recorded a very special #Diwali acoustic sess…",0.458,0.136,0.864,0.0,93
BBC,Mon Oct 28 11:55:50 +0000 2019,"RT @bbcasiannetwork: Happy #Diwali 🧡✨

👩🏽‍🎨 @zhkdesigns https://t.co/5hpWbxQJHc",0.572,0.252,0.748,0.0,94
BBC,Mon Oct 28 10:40:26 +0000 2019,They can act... but can they sing? Britain's biggest stars are recording a special album for @BBCCiN. #GotItCovered… https://t.co/zmcWgEJ36d,0.55,0.173,0.827,0.0,95
BBC,Mon Oct 28 09:01:04 +0000 2019,"Could we replace plastic straws with pasta? This entrepreneur thinks so... 🍝😲♻️ #DragonsDen
https://t.co/wKL7ZHLOgu",0.0,0.0,1.0,0.0,96
BBC,Mon Oct 28 08:01:04 +0000 2019,"Nadir Nahdi has started an inclusive running club. 🏃🏾
https://t.co/H2GJNHbVJr",0.0,0.0,1.0,0.0,97
BBC,Mon Oct 28 07:01:03 +0000 2019,"THIS. 🤣 #Motherland #MondayMotivation
https://t.co/Hyaahkb2I2",0.494,0.286,0.714,0.0,98
BBC,Sun Oct 27 19:01:04 +0000 2019,"In the third leg of his journey through #TheAmericas, @simon_reeve is travelling down the length of California.  🇺🇸… https://t.co/5zb1sUbBl3",0.0,0.0,1.0,0.0,99
BBC,Sun Oct 27 18:19:04 +0000 2019,@BBCOne @BBCiPlayer 🙌🏻,0.0,0.0,1.0,0.0,100
CBS,Wed Nov 06 19:00:50 +0000 2019,RT @NCISNewOrleans: Thank you #NCISNOLA fans! from @TheLucasBlack. https://t.co/b5s5pji55R,0.42,0.259,0.741,0.0,1
CBS,Wed Nov 06 17:03:10 +0000 2019,What do you get when sports icons and comedians face off in wild physical &amp; trivia challenges? GAME ON! A new show… https://t.co/9icszRVlGm,0.42,0.159,0.841,0.0,2
CBS,Tue Nov 05 21:55:02 +0000 2019,"When Forrest and Delia are tasked with minding the snack shack, caloric chaos ensues. Catch new episodes of… https://t.co/6RCX5uxyxX",-0.572,0.0,0.829,0.171,3
CBS,Tue Nov 05 18:26:55 +0000 2019,@l_olayiwola #BobHeartsAbishola https://t.co/uJvxSlwbHy,0.0,0.0,1.0,0.0,4
CBS,Tue Nov 05 02:09:15 +0000 2019,Looking to follow the new @AllRiseCBS Twitter and Instagram handles? We'll allow it. #AllRise https://t.co/S8iBLxdI4v,0.226,0.119,0.881,0.0,5
CBS,Tue Nov 05 02:01:51 +0000 2019,RT @AllRiseCBS: All eyes on #AllRise. New episode starts NOW! 🎢 https://t.co/EA8g0td2uk,0.0,0.0,1.0,0.0,6
CBS,Tue Nov 05 02:01:33 +0000 2019,@EMauraA The sock biz moves pretty quickly. #bobheartsabishola https://t.co/h8u08QMmYO,0.494,0.286,0.714,0.0,7
CBS,Tue Nov 05 02:00:55 +0000 2019,We ❤️ watching #BobHeartsAbishola with you. Join us for a new episode in two weeks on 11/18 on CBS. https://t.co/7MCHkbjcin,0.296,0.104,0.896,0.0,8
CBS,Tue Nov 05 01:53:54 +0000 2019,"@stef_j_30 Dottie's frustrated, alright. #bobheartsabishola https://t.co/orM5rX1hER",-0.34,0.213,0.426,0.362,9
CBS,Tue Nov 05 01:50:51 +0000 2019,@SahHtown #bobheartsabishola https://t.co/qyeyO04xUm,0.0,0.0,1.0,0.0,10
CBS,Tue Nov 05 01:47:33 +0000 2019,@abpf91 @CEbersoleFans @TheFolake But there are limits to Abishola's help. #bobheartsabishola https://t.co/oiEldYkRBj,0.55,0.244,0.756,0.0,11
CBS,Tue Nov 05 01:46:31 +0000 2019,@dreamgirl_steph #bobheartsabishola https://t.co/bLPRQGn1tJ,0.0,0.0,1.0,0.0,12
CBS,Tue Nov 05 01:44:59 +0000 2019,#BobHeartsAbishola and Instagram. Show some ❤️ and follow the new account for exclusive content. https://t.co/7xuwcmMCRp,0.128,0.091,0.909,0.0,13
CBS,Tue Nov 05 01:42:50 +0000 2019,The road to recovery is paved with ❤️. #BobHeartsAbishola https://t.co/2TNBaRFv09,0.0,0.0,1.0,0.0,14
CBS,Tue Nov 05 01:40:54 +0000 2019,@1986Webber @TONYOK #bobheartsabishola https://t.co/zLViv4h0QJ,0.0,0.0,1.0,0.0,15
CBS,Tue Nov 05 01:40:02 +0000 2019,@EMauraA Everybody ❤️ Dottie. #bobheartsabishola https://t.co/oRYU0EagnG,0.0,0.0,1.0,0.0,16
